# This file is generated by MACS version 2.2.7.1
# Command line: callpeak -t /data/dnb07/galaxy_db/files/a/1/4/dataset_a14b0772-777d-4a48-8e51-15289da625a6.dat --name MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED_ --format BED --gsize 2700000000 --call-summits --keep-dup all --d-min 20 --buffer-size 100000 --bdg --qvalue 0.05 --nomodel --extsize 200 --shift -100
# ARGUMENTS LIST:
# name = MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED_
# format = BED
# ChIP-seq file = ['/data/dnb07/galaxy_db/files/a/1/4/dataset_a14b0772-777d-4a48-8e51-15289da625a6.dat']
# control file = None
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# The maximum gap between significant sites is assigned as the read length/tag size.
# The minimum length of peaks is assigned as the predicted fragment length "d".
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 10000 bps
# Broad region calling is off
# Paired-End mode is off
# Searching for subpeak summits is on

# tag size is determined as 49 bps
# total tags in treatment: 264454
# Sequencing ends will be shifted towards 5' by 100 bp(s)
# d = 200
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr22	41448423	41448712	290	41448571	23	12.9431	5.6872	7.77863	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_166
chr22	41468574	41468845	272	41468722	16	11.7357	6.53846	6.66317	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_167
chr22	41468961	41469254	294	41469102	21	16.7908	8.20896	11.3533	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_168
chr22	41544435	41544730	296	41544601	18	13.7713	7.25191	8.5404	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_169
chr22	41589758	41590303	546	41590112	42	34.4929	11.1979	27.7535	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_170
chr22	41620940	41621274	335	41621075	13	8.40061	5.18519	3.62602	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_171
chr22	41666786	41666994	209	41666880	13	10.2246	6.30631	5.27575	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_172
chr22	41781226	41781468	243	41781347	18	14.5637	7.72358	9.27579	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_173
chr22	41832699	41833202	504	41832987	32	24.8593	9.42857	18.8739	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_174
chr22	41940186	41940399	214	41940304	17	9.29959	4.94506	4.43519	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_175
chr22	41946735	41947155	421	41946863	25	16.9017	7.22222	11.4514	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_176
chr22	42070612	42070979	368	42070829	20	14.5534	7.19178	9.26739	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_177
chr22	42079500	42079699	200	42079608	13	11.3449	7	6.30469	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_178
chr22	42090772	42091075	304	42090959	8	9.69352	6.61765	4.79913	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_179
chr22	42369201	42369477	277	42369339	21	17.799	8.8	12.2811	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_180
chr22	42500150	42500658	509	42500246	13	10.0445	6.19469	5.11606	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_181a
chr22	42500150	42500658	509	42500511	15	12.2286	7.07965	7.11541	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_181b
chr22	42533279	42533620	342	42533495	16	12.5433	7.02479	7.40321	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_182
chr22	42614792	42615041	250	42614921	27	17.3079	6.96517	11.8306	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_183
chr22	42615312	42615680	369	42615448	18	9.15979	4.70297	4.30532	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_184
chr22	42857227	42857431	205	42857333	18	13.4065	7.03704	8.20419	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_185
chr22	43015025	43015452	428	43015242	29	24.1112	9.93377	18.18	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_186
chr22	43089226	43089481	256	43089375	18	14.6693	7.78689	9.3753	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_187
chr22	43143282	43143495	214	43143392	11	7.48576	5	2.85647	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_188
chr22	43187461	43187812	352	43187689	17	11.4948	6.16438	6.43879	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_189
chr22	43376909	43377166	258	43377042	17	15.2504	8.41121	9.91476	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_190
chr22	43812273	43812533	261	43812391	20	16.2984	8.20312	10.8915	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_191
chr22	43955246	43955581	336	43955424	22	16.9866	8.04196	11.5332	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_192
chr22	44025759	44025973	215	44025873	17	8.71732	4.63918	3.89859	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_193
chr22	44701943	44702189	247	44702071	13	8.03415	4.96454	3.28591	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_194
chr22	44955109	44955374	266	44955252	11	10.4146	6.81818	5.45023	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_195
chr22	45163737	45164014	278	45163873	15	10.9481	6.29921	5.94086	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_196
chr22	45309558	45310017	460	45309693	22	13.8795	6.35359	8.64025	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_197
chr22	45671781	45672130	350	45671965	15	11.1999	6.45161	6.16953	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_198
chr22	46035625	46036144	520	46035851	42	34.8663	11.3757	28.0389	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_199
chr22	46150250	46150449	200	46150378	13	7.63982	4.72973	2.93951	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_200
chr22	46250178	46250412	235	46250278	16	12.5433	7.02479	7.40321	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_201
chr22	46250517	46250716	200	46250669	11	7.48576	5	2.85647	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_202
chr22	46296614	46296939	326	46296754	32	28.1197	11.1486	21.8831	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_203
chr22	46762475	46762675	201	46762575	15	11.8334	6.83761	6.75105	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_204
chr22	48098298	48098497	200	48098397	14	9.55944	5.68182	4.67584	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_205
chr22	49853450	49853931	482	49853764	31	24.7005	9.63855	18.7242	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_206
chr22	49918395	49918750	356	49918577	30	24.9293	10.0649	18.9403	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_207
chr22	49970893	49971145	253	49971030	15	9.19742	5.26316	4.34134	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_208
chr22	50200798	50201075	278	50200942	21	16.2797	7.91367	10.8758	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_209
chr22	50469916	50470172	257	50470078	21	12.1372	5.6701	7.03437	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_210
chr22	50508026	50508443	418	50508204	23	16.7535	7.64331	11.3192	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_211
chr22	50525465	50525821	357	50525601	29	14.6645	5.43478	9.37276	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_212
chr22	50562822	50563084	263	50562956	20	16.4078	8.26772	10.9937	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_213
chr22	50582466	50582719	254	50582608	22	14.086	6.46067	8.82904	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_214
chr22	50582776	50583229	454	50583094	16	8.9624	4.94186	4.12308	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_215
chr22	50628146	50628482	337	50628276	15	10.7069	6.15385	5.71827	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_216
chr22	50783521	50783793	273	50783636	15	14.875	8.69565	9.56895	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_217
chr3	93470428	93470757	330	93470600	14	18.2483	10.7143	12.6988	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_218
chr3	170870164	170870424	261	170870263	6	8.67112	5.83333	3.85979	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_219
chr4	39182281	39182487	207	39182326	5	7.69209	5.17241	2.97634	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_220
chr6	104859888	104860092	205	104859985	7	11.0343	6.89655	6.01914	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_221
chr8	93884608	93884807	200	93884673	3	5.79561	3.7037	1.37878	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_222
